category,tag,poi_subtype,service_role,life_circle_tier,is_life_service,supply_weight,count
休闲娱乐,文化传媒;美术馆,culture_venue,city_resource,15.0,1,1.0,31
休闲娱乐,购物,recreation_noise,excluded,,0,0.0,31
休闲娱乐,休闲娱乐;休闲广场,park_scenic,daily_complete,10.0,1,1.1,27
休闲娱乐,购物;购物中心,recreation_noise,excluded,,0,0.0,24
休闲娱乐,交通设施;其他,recreation_noise,excluded,,0,0.0,22
休闲娱乐,美食;外国餐厅,food_social,daily_complete,10.0,1,0.5,22
休闲娱乐,生活服务,recreation_noise,excluded,,0,0.0,19
休闲娱乐,教育培训;亲子教育,recreation_noise,excluded,,0,0.0,18
休闲娱乐,美食;其他,food_social,daily_complete,10.0,1,0.5,16
休闲娱乐,酒店;民宿,recreation_noise,excluded,,0,0.0,16
休闲娱乐,休闲娱乐;其他,park_scenic,daily_complete,10.0,1,1.1,15
休闲娱乐,医疗;其他,recreation_noise,excluded,,0,0.0,14
休闲娱乐,旅游景点;景点,park_scenic,daily_complete,10.0,1,1.1,14
休闲娱乐,丽人;其他,recreation_noise,excluded,,0,0.0,13
休闲娱乐,休闲娱乐;洗浴按摩,park_scenic,daily_complete,10.0,1,1.1,12
休闲娱乐,出入口;停车场出入口,recreation_noise,excluded,,0,0.0,12
休闲娱乐,美食;小吃快餐店,food_social,daily_complete,10.0,1,0.5,12
休闲娱乐,行政地标;村庄,recreation_noise,excluded,,0,0.0,12
休闲娱乐,休闲娱乐;休闲广场,sports_fitness,daily_complete,10.0,1,0.9,10
休闲娱乐,休闲娱乐;电影院,park_scenic,daily_complete,10.0,1,1.1,10
休闲娱乐,房地产;其他,recreation_noise,excluded,,0,0.0,10
休闲娱乐,公司企业;园区,recreation_noise,excluded,,0,0.0,9
休闲娱乐,旅游景点;其他,recreation_noise,excluded,,0,0.0,9
休闲娱乐,公司企业;其他,recreation_noise,excluded,,0,0.0,8
休闲娱乐,医疗;药店,recreation_noise,excluded,,0,0.0,8
休闲娱乐,教育培训;高等院校,recreation_noise,excluded,,0,0.0,8
休闲娱乐,购物;家电数码,recreation_noise,excluded,,0,0.0,8
休闲娱乐,休闲娱乐;ktv,park_scenic,daily_complete,10.0,1,1.1,7
休闲娱乐,文化传媒;新闻出版,culture_venue,city_resource,15.0,1,1.0,7
休闲娱乐,购物;家居建材,recreation_noise,excluded,,0,0.0,7
休闲娱乐,丽人;美甲,recreation_noise,excluded,,0,0.0,6
休闲娱乐,交通设施;接送点,recreation_noise,excluded,,0,0.0,6
休闲娱乐,旅游景点;公园,park_scenic,daily_complete,10.0,1,1.1,6
休闲娱乐,生活服务;照相馆,recreation_noise,excluded,,0,0.0,6
休闲娱乐,美食;咖啡厅,park_scenic,daily_complete,10.0,1,1.1,6
休闲娱乐,休闲娱乐;游戏场所,sports_fitness,daily_complete,10.0,1,0.9,5
休闲娱乐,医疗,recreation_noise,excluded,,0,0.0,5
休闲娱乐,房地产,recreation_noise,excluded,,0,0.0,5
休闲娱乐,美食,food_social,daily_complete,10.0,1,0.5,5
休闲娱乐,道路;路口,recreation_noise,excluded,,0,0.0,5
休闲娱乐,门址;门址点,recreation_noise,excluded,,0,0.0,5
休闲娱乐,医疗;诊所,recreation_noise,excluded,,0,0.0,4
休闲娱乐,旅游景点,recreation_noise,excluded,,0,0.0,4
休闲娱乐,旅游景点;风景区,park_scenic,daily_complete,10.0,1,1.1,4
休闲娱乐,美食;茶座,park_scenic,daily_complete,10.0,1,1.1,4
休闲娱乐,购物;商铺,sports_fitness,daily_complete,10.0,1,0.9,4
休闲娱乐,购物;超市,recreation_noise,excluded,,0,0.0,4
休闲娱乐,丽人,recreation_noise,excluded,,0,0.0,3
休闲娱乐,交通设施;停车场,recreation_noise,excluded,,0,0.0,3
休闲娱乐,交通设施;其他,park_scenic,daily_complete,10.0,1,1.1,3
休闲娱乐,休闲娱乐;农家院,park_scenic,daily_complete,10.0,1,1.1,3
休闲娱乐,休闲娱乐;度假村,park_scenic,daily_complete,10.0,1,1.1,3
休闲娱乐,休闲娱乐;网吧,park_scenic,daily_complete,10.0,1,1.1,3
休闲娱乐,政府机构;行政单位,recreation_noise,excluded,,0,0.0,3
休闲娱乐,教育培训;科研机构,recreation_noise,excluded,,0,0.0,3
休闲娱乐,旅游景点;游乐园,recreation_noise,excluded,,0,0.0,3
休闲娱乐,生活服务;宠物服务,recreation_noise,excluded,,0,0.0,3
休闲娱乐,生活服务;物流公司,recreation_noise,excluded,,0,0.0,3
休闲娱乐,生活服务;维修点,recreation_noise,excluded,,0,0.0,3
休闲娱乐,购物;商铺,park_scenic,daily_complete,10.0,1,1.1,3
休闲娱乐,酒店;其他,park_scenic,daily_complete,10.0,1,1.1,3
休闲娱乐,丽人;美体,recreation_noise,excluded,,0,0.0,2
休闲娱乐,休闲娱乐;其他,sports_fitness,daily_complete,10.0,1,0.9,2
休闲娱乐,休闲娱乐;剧院,culture_venue,city_resource,15.0,1,1.0,2
休闲娱乐,休闲娱乐;洗浴按摩,sports_fitness,daily_complete,10.0,1,0.9,2
休闲娱乐,房地产;写字楼,park_scenic,daily_complete,10.0,1,1.1,2
休闲娱乐,政府机构,recreation_noise,excluded,,0,0.0,2
休闲娱乐,政府机构;其他,recreation_noise,excluded,,0,0.0,2
休闲娱乐,政府机构;社会团体,recreation_noise,excluded,,0,0.0,2
休闲娱乐,文化传媒,recreation_noise,excluded,,0,0.0,2
休闲娱乐,汽车服务;汽车美容,recreation_noise,excluded,,0,0.0,2
休闲娱乐,美食;中餐厅,park_scenic,daily_complete,10.0,1,1.1,2
休闲娱乐,美食;茶座,culture_venue,city_resource,15.0,1,1.0,2
休闲娱乐,美食;茶座,sports_fitness,daily_complete,10.0,1,0.9,2
休闲娱乐,美食;酒吧,park_scenic,daily_complete,10.0,1,1.1,2
休闲娱乐,购物;便利店,recreation_noise,excluded,,0,0.0,2
休闲娱乐,购物;百货商场,recreation_noise,excluded,,0,0.0,2
休闲娱乐,运动健身;体育场馆,park_scenic,daily_complete,10.0,1,1.1,2
休闲娱乐,酒店;公寓式酒店,recreation_noise,excluded,,0,0.0,2
休闲娱乐,酒店;快捷酒店,recreation_noise,excluded,,0,0.0,2
休闲娱乐,酒店;星级酒店,recreation_noise,excluded,,0,0.0,2
休闲娱乐,,sports_fitness,daily_complete,10.0,1,0.9,1
休闲娱乐,丽人;美容,park_scenic,daily_complete,10.0,1,1.1,1
休闲娱乐,交通设施,recreation_noise,excluded,,0,0.0,1
休闲娱乐,交通设施;停车场,park_scenic,daily_complete,10.0,1,1.1,1
休闲娱乐,交通设施;其他,culture_venue,city_resource,15.0,1,1.0,1
休闲娱乐,交通设施;其他,sports_fitness,daily_complete,10.0,1,0.9,1
休闲娱乐,交通设施;加油加气站,recreation_noise,excluded,,0,0.0,1
休闲娱乐,交通设施;普通停车位,recreation_noise,excluded,,0,0.0,1
休闲娱乐,交通设施;桥,recreation_noise,excluded,,0,0.0,1
休闲娱乐,交通设施;长途汽车站,park_scenic,daily_complete,10.0,1,1.1,1
休闲娱乐,休闲娱乐,sports_fitness,daily_complete,10.0,1,0.9,1
休闲娱乐,休闲娱乐;ktv,sports_fitness,daily_complete,10.0,1,0.9,1
休闲娱乐,休闲娱乐;其他,culture_venue,city_resource,15.0,1,1.0,1
休闲娱乐,休闲娱乐;农家院,culture_venue,city_resource,15.0,1,1.0,1
休闲娱乐,休闲娱乐;农家院,sports_fitness,daily_complete,10.0,1,0.9,1
休闲娱乐,休闲娱乐;剧院,park_scenic,daily_complete,10.0,1,1.1,1
休闲娱乐,休闲娱乐;电影院,culture_venue,city_resource,15.0,1,1.0,1
休闲娱乐,休闲娱乐;网吧,sports_fitness,daily_complete,10.0,1,0.9,1
休闲娱乐,公司企业,recreation_noise,excluded,,0,0.0,1
休闲娱乐,公司企业;其他,culture_venue,city_resource,15.0,1,1.0,1
休闲娱乐,出入口;其他,recreation_noise,excluded,,0,0.0,1
休闲娱乐,出入口;门,recreation_noise,excluded,,0,0.0,1
休闲娱乐,医疗;体检机构,recreation_noise,excluded,,0,0.0,1
休闲娱乐,医疗;其他,sports_fitness,daily_complete,10.0,1,0.9,1
休闲娱乐,医疗;医疗保健,recreation_noise,excluded,,0,0.0,1
休闲娱乐,房地产;住宅区,park_scenic,daily_complete,10.0,1,1.1,1
休闲娱乐,政府机构;党派团体,recreation_noise,excluded,,0,0.0,1
休闲娱乐,政府机构;福利机构,recreation_noise,excluded,,0,0.0,1
休闲娱乐,教育培训;其他,sports_fitness,daily_complete,10.0,1,0.9,1
休闲娱乐,教育培训;培训机构,park_scenic,daily_complete,10.0,1,1.1,1
休闲娱乐,教育培训;幼儿园,recreation_noise,excluded,,0,0.0,1
休闲娱乐,文化传媒;展览馆,park_scenic,daily_complete,10.0,1,1.1,1
休闲娱乐,文化传媒;展览馆,sports_fitness,daily_complete,10.0,1,0.9,1
休闲娱乐,文化传媒;文化宫,park_scenic,daily_complete,10.0,1,1.1,1
休闲娱乐,文化传媒;艺术团体,recreation_noise,excluded,,0,0.0,1
休闲娱乐,旅游景点;其他,park_scenic,daily_complete,10.0,1,1.1,1
休闲娱乐,旅游景点;博物馆,culture_venue,city_resource,15.0,1,1.0,1
休闲娱乐,旅游景点;文物古迹,recreation_noise,excluded,,0,0.0,1
休闲娱乐,旅游景点;水族馆,recreation_noise,excluded,,0,0.0,1
休闲娱乐,汽车服务,recreation_noise,excluded,,0,0.0,1
休闲娱乐,汽车服务;其他,recreation_noise,excluded,,0,0.0,1
休闲娱乐,汽车服务;汽车维修,recreation_noise,excluded,,0,0.0,1
休闲娱乐,汽车服务;汽车销售,recreation_noise,excluded,,0,0.0,1
休闲娱乐,生活服务;其他,culture_venue,city_resource,15.0,1,1.0,1
休闲娱乐,生活服务;其他,sports_fitness,daily_complete,10.0,1,0.9,1
休闲娱乐,生活服务;售票处,park_scenic,daily_complete,10.0,1,1.1,1
休闲娱乐,美食;咖啡厅,culture_venue,city_resource,15.0,1,1.0,1
休闲娱乐,美食;蛋糕甜品店,park_scenic,daily_complete,10.0,1,1.1,1
休闲娱乐,美食;蛋糕甜品店,sports_fitness,daily_complete,10.0,1,0.9,1
休闲娱乐,美食;酒吧,sports_fitness,daily_complete,10.0,1,0.9,1
休闲娱乐,购物;购物中心,park_scenic,daily_complete,10.0,1,1.1,1
休闲娱乐,运动健身,sports_fitness,daily_complete,10.0,1,0.9,1
休闲娱乐,运动健身;健身中心,sports_fitness,daily_complete,10.0,1,0.9,1
休闲娱乐,运动健身;其他,park_scenic,daily_complete,10.0,1,1.1,1
休闲娱乐,道路;其他,recreation_noise,excluded,,0,0.0,1
休闲娱乐,道路;高速公路,recreation_noise,excluded,,0,0.0,1
休闲娱乐,酒店,recreation_noise,excluded,,0,0.0,1
住宅,房地产;内部楼栋,residential_building,demand_proxy,,0,0.0,226503
住宅,房地产;住宅区,residential_area,demand_proxy,,0,0.0,31886
住宅,房地产,other_residence,demand_proxy,,0,0.0,1023
住宅,,other_residence,demand_proxy,,0,0.0,184
公司企业,公司企业;公司,office_company,employment,15.0,1,0.6,170700
公司企业,生活服务;物流公司,logistics,employment,15.0,1,0.2,7935
公司企业,公司企业;厂矿,factory,employment,15.0,1,0.25,4436
公司企业,公司企业;农林园艺,agri_company,employment,15.0,1,0.15,2516
公司企业,文化传媒;其他,cultural_media_company,employment,15.0,1,0.4,2273
公司企业,公司企业;其他,other_company,employment,15.0,1,0.2,1777
公司企业,公司企业;园区,business_park,employment,15.0,1,0.8,1359
公司企业,,company_noise,excluded,,0,0.0,1330
公司企业,购物;商铺,company_noise,excluded,,0,0.0,808
公司企业,公司企业;其他,business_park,employment,15.0,1,0.8,726
公司企业,汽车服务;汽车维修,company_noise,excluded,,0,0.0,501
公司企业,医疗;医疗器械,company_noise,excluded,,0,0.0,464
公司企业,公司企业,other_company,employment,15.0,1,0.2,431
公司企业,生活服务;其他,company_noise,excluded,,0,0.0,274
公司企业,公司企业;公司,business_park,employment,15.0,1,0.8,191
公司企业,购物;家居建材,company_noise,excluded,,0,0.0,184
公司企业,金融;投资理财,company_noise,excluded,,0,0.0,151
公司企业,生活服务;殡葬服务,company_noise,excluded,,0,0.0,135
公司企业,房地产;写字楼,office_building,employment,15.0,1,0.6,124
公司企业,购物;其他,company_noise,excluded,,0,0.0,122
公司企业,政府机构;行政单位,company_noise,excluded,,0,0.0,93
公司企业,生活服务;维修点,company_noise,excluded,,0,0.0,72
公司企业,房地产;住宅区,company_noise,excluded,,0,0.0,59
公司企业,交通设施;接送点,company_noise,excluded,,0,0.0,57
公司企业,汽车服务;汽车配件,company_noise,excluded,,0,0.0,51
公司企业,文化传媒,cultural_media_company,employment,15.0,1,0.4,47
公司企业,生活服务,company_noise,excluded,,0,0.0,45
公司企业,房地产;内部楼栋,company_noise,excluded,,0,0.0,42
公司企业,政府机构;党派团体,company_noise,excluded,,0,0.0,40
公司企业,汽车服务;汽车销售,company_noise,excluded,,0,0.0,39
公司企业,生活服务;物流公司,business_park,employment,15.0,1,0.8,39
公司企业,购物,company_noise,excluded,,0,0.0,38
公司企业,文化传媒;新闻出版,cultural_media_company,employment,15.0,1,0.4,37
公司企业,行政地标;村庄,company_noise,excluded,,0,0.0,35
公司企业,出入口;门,company_noise,excluded,,0,0.0,34
公司企业,门址;门址点,company_noise,excluded,,0,0.0,34
公司企业,购物;家电数码,company_noise,excluded,,0,0.0,33
公司企业,医疗;其他,company_noise,excluded,,0,0.0,31
公司企业,生活服务;公用事业,company_noise,excluded,,0,0.0,30
公司企业,生活服务;房产中介机构,company_noise,excluded,,0,0.0,29
公司企业,教育培训;培训机构,company_noise,excluded,,0,0.0,28
公司企业,教育培训;科研机构,company_noise,excluded,,0,0.0,27
公司企业,汽车服务;汽车美容,company_noise,excluded,,0,0.0,27
公司企业,文化传媒;广播电视,cultural_media_company,employment,15.0,1,0.4,26
公司企业,生活服务;图文快印店,company_noise,excluded,,0,0.0,26
公司企业,美食;蛋糕甜品店,company_noise,excluded,,0,0.0,26
公司企业,文化传媒;展览馆,cultural_media_company,employment,15.0,1,0.4,25
公司企业,生活服务;家政服务,company_noise,excluded,,0,0.0,19
公司企业,汽车服务;汽车租赁,company_noise,excluded,,0,0.0,18
公司企业,教育培训,company_noise,excluded,,0,0.0,16
公司企业,金融;其他,company_noise,excluded,,0,0.0,16
公司企业,休闲娱乐;其他,company_noise,excluded,,0,0.0,15
公司企业,美食;中餐厅,company_noise,excluded,,0,0.0,15
公司企业,公司企业;农林园艺,business_park,employment,15.0,1,0.8,11
公司企业,汽车服务;其他,company_noise,excluded,,0,0.0,11
公司企业,酒店;其他,company_noise,excluded,,0,0.0,11
公司企业,医疗;药店,company_noise,excluded,,0,0.0,10
公司企业,美食;小吃快餐店,company_noise,excluded,,0,0.0,10
公司企业,,business_park,employment,15.0,1,0.8,9
公司企业,出入口;其他,company_noise,excluded,,0,0.0,9
公司企业,休闲娱乐;农家院,company_noise,excluded,,0,0.0,8
公司企业,公司企业;厂矿,business_park,employment,15.0,1,0.8,8
公司企业,政府机构;社会团体,company_noise,excluded,,0,0.0,8
公司企业,教育培训;其他,company_noise,excluded,,0,0.0,8
公司企业,丽人;美发,company_noise,excluded,,0,0.0,7
公司企业,交通设施;其他,company_noise,excluded,,0,0.0,7
公司企业,购物;超市,company_noise,excluded,,0,0.0,7
公司企业,生活服务;通讯营业厅,company_noise,excluded,,0,0.0,6
公司企业,公司企业,business_park,employment,15.0,1,0.8,5
公司企业,医疗;医疗保健,company_noise,excluded,,0,0.0,5
公司企业,政府机构;各级政府,company_noise,excluded,,0,0.0,5
公司企业,政府机构;行政单位,business_park,employment,15.0,1,0.8,5
公司企业,文化传媒;艺术团体,cultural_media_company,employment,15.0,1,0.4,5
公司企业,汽车服务;汽车检测场,company_noise,excluded,,0,0.0,5
公司企业,生活服务;洗衣店,company_noise,excluded,,0,0.0,5
公司企业,生活服务;照相馆,company_noise,excluded,,0,0.0,5
公司企业,美食,company_noise,excluded,,0,0.0,5
公司企业,美食;酒吧,company_noise,excluded,,0,0.0,5
公司企业,购物;市场,company_noise,excluded,,0,0.0,5
公司企业,道路;路口,company_noise,excluded,,0,0.0,5
公司企业,酒店;快捷酒店,company_noise,excluded,,0,0.0,5
公司企业,丽人;美容,company_noise,excluded,,0,0.0,4
公司企业,休闲娱乐;游戏场所,company_noise,excluded,,0,0.0,4
公司企业,出入口;停车场出入口,company_noise,excluded,,0,0.0,4
公司企业,房地产,company_noise,excluded,,0,0.0,4
公司企业,房地产;写字楼,business_park,employment,15.0,1,0.8,4
公司企业,房地产;宿舍,company_noise,excluded,,0,0.0,4
公司企业,生活服务;售票处,company_noise,excluded,,0,0.0,4
公司企业,金融;银行,company_noise,excluded,,0,0.0,4
公司企业,交通设施,company_noise,excluded,,0,0.0,3
公司企业,休闲娱乐;剧院,company_noise,excluded,,0,0.0,3
公司企业,休闲娱乐;度假村,company_noise,excluded,,0,0.0,3
公司企业,医疗;诊所,company_noise,excluded,,0,0.0,3
公司企业,房地产;其他,company_noise,excluded,,0,0.0,3
公司企业,房地产;内部楼栋,business_park,employment,15.0,1,0.8,3
公司企业,生活服务;其他,business_park,employment,15.0,1,0.8,3
公司企业,运动健身;体育场馆,company_noise,excluded,,0,0.0,3
公司企业,酒店;星级酒店,company_noise,excluded,,0,0.0,3
公司企业,交通设施;港口,company_noise,excluded,,0,0.0,2
公司企业,休闲娱乐,company_noise,excluded,,0,0.0,2
公司企业,休闲娱乐;ktv,company_noise,excluded,,0,0.0,2
公司企业,医疗,company_noise,excluded,,0,0.0,2
公司企业,房地产,business_park,employment,15.0,1,0.8,2
公司企业,房地产;宿舍,business_park,employment,15.0,1,0.8,2
公司企业,文化传媒;文化宫,cultural_media_company,employment,15.0,1,0.4,2
公司企业,文化传媒;美术馆,cultural_media_company,employment,15.0,1,0.4,2
公司企业,旅游景点;文物古迹,company_noise,excluded,,0,0.0,2
公司企业,生活服务;宠物服务,company_noise,excluded,,0,0.0,2
公司企业,美食;其他,company_noise,excluded,,0,0.0,2
公司企业,美食;茶座,company_noise,excluded,,0,0.0,2
公司企业,自然地物;山峰,company_noise,excluded,,0,0.0,2
公司企业,行政地标,company_noise,excluded,,0,0.0,2
公司企业,行政地标;其他,company_noise,excluded,,0,0.0,2
公司企业,购物;购物中心,company_noise,excluded,,0,0.0,2
公司企业,酒店;公寓式酒店,company_noise,excluded,,0,0.0,2
公司企业,交通设施;停车场,company_noise,excluded,,0,0.0,1
公司企业,交通设施;加油加气站,company_noise,excluded,,0,0.0,1
公司企业,交通设施;长途汽车站,company_noise,excluded,,0,0.0,1
公司企业,休闲娱乐;休闲广场,company_noise,excluded,,0,0.0,1
公司企业,休闲娱乐;洗浴按摩,company_noise,excluded,,0,0.0,1
公司企业,出入口;其他,business_park,employment,15.0,1,0.8,1
公司企业,政府机构,company_noise,excluded,,0,0.0,1
公司企业,政府机构;党派团体,business_park,employment,15.0,1,0.8,1
公司企业,政府机构;其他,company_noise,excluded,,0,0.0,1
公司企业,政府机构;政治教育机构,company_noise,excluded,,0,0.0,1
公司企业,政府机构;福利机构,company_noise,excluded,,0,0.0,1
公司企业,教育培训;幼儿园,company_noise,excluded,,0,0.0,1
公司企业,教育培训;留学中介机构,company_noise,excluded,,0,0.0,1
公司企业,教育培训;科研机构,business_park,employment,15.0,1,0.8,1
公司企业,教育培训;高等院校,company_noise,excluded,,0,0.0,1
公司企业,文化传媒;新闻出版,business_park,employment,15.0,1,0.8,1
公司企业,旅游景点;其他,company_noise,excluded,,0,0.0,1
公司企业,旅游景点;博物馆,company_noise,excluded,,0,0.0,1
公司企业,旅游景点;风景区,company_noise,excluded,,0,0.0,1
公司企业,汽车服务,company_noise,excluded,,0,0.0,1
公司企业,美食;咖啡厅,company_noise,excluded,,0,0.0,1
公司企业,自然地物;水系,company_noise,excluded,,0,0.0,1
公司企业,行政地标;区县,company_noise,excluded,,0,0.0,1
公司企业,运动健身;健身中心,company_noise,excluded,,0,0.0,1
公司企业,金融,company_noise,excluded,,0,0.0,1
公司企业,金融;信用社,company_noise,excluded,,0,0.0,1
公司企业,金融;典当行,company_noise,excluded,,0,0.0,1
医疗,医疗;药店,pharmacy,basic_daily,5.0,1,1.0,3549
医疗,医疗;其他,general_hospital,city_resource,15.0,1,1.3,1419
医疗,医疗;其他,other_healthcare,daily_complete,10.0,1,0.25,1189
医疗,医疗;诊所,clinic,daily_complete,10.0,1,1.0,1149
医疗,医疗;医疗器械,medical_device,excluded,,0,0.0,549
医疗,医疗;诊所,specialized_hospital,city_resource,15.0,1,1.0,487
医疗,医疗;其他,specialized_hospital,city_resource,15.0,1,1.0,429
医疗,医疗;其他,clinic,daily_complete,10.0,1,1.0,352
医疗,医疗;医疗保健,other_healthcare,daily_complete,10.0,1,0.25,339
医疗,医疗;综合医院,general_hospital,city_resource,15.0,1,1.3,245
医疗,医疗,other_healthcare,daily_complete,10.0,1,0.25,212
医疗,医疗;专科医院,specialized_hospital,city_resource,15.0,1,1.0,136
医疗,医疗;体检机构,physical_exam,daily_complete,15.0,1,0.5,119
医疗,医疗;疗养院,nursing_care,daily_complete,15.0,1,0.4,102
医疗,购物;商铺,healthcare_noise,excluded,,0,0.0,84
医疗,房地产;内部楼栋,general_hospital,city_resource,15.0,1,1.3,80
医疗,医疗;急救中心,emergency,city_resource,15.0,1,1.2,78
医疗,医疗;疾控中心,other_healthcare,daily_complete,10.0,1,0.25,74
医疗,公司企业;公司,healthcare_noise,excluded,,0,0.0,48
医疗,,healthcare_noise,excluded,,0,0.0,46
医疗,医疗;体检机构,general_hospital,city_resource,15.0,1,1.3,25
医疗,房地产;内部楼栋,clinic,daily_complete,10.0,1,1.0,24
医疗,休闲娱乐;洗浴按摩,healthcare_noise,excluded,,0,0.0,23
医疗,出入口;停车场出入口,general_hospital,city_resource,15.0,1,1.3,22
医疗,生活服务;维修点,general_hospital,city_resource,15.0,1,1.3,22
医疗,生活服务;其他,healthcare_noise,excluded,,0,0.0,20
医疗,医疗;诊所,general_hospital,city_resource,15.0,1,1.3,18
医疗,公司企业;公司,pharmacy,basic_daily,5.0,1,1.0,17
医疗,公司企业;公司,general_hospital,city_resource,15.0,1,1.3,14
医疗,政府机构;行政单位,healthcare_noise,excluded,,0,0.0,13
医疗,购物;其他,healthcare_noise,excluded,,0,0.0,13
医疗,,general_hospital,city_resource,15.0,1,1.3,12
医疗,房地产;宿舍,general_hospital,city_resource,15.0,1,1.3,11
医疗,房地产;住宅区,healthcare_noise,excluded,,0,0.0,10
医疗,出入口;停车场出入口,clinic,daily_complete,10.0,1,1.0,9
医疗,医疗;疗养院,general_hospital,city_resource,15.0,1,1.3,9
医疗,生活服务;其他,general_hospital,city_resource,15.0,1,1.3,9
医疗,公司企业;公司,clinic,daily_complete,10.0,1,1.0,8
医疗,医疗;疾控中心,specialized_hospital,city_resource,15.0,1,1.0,8
医疗,政府机构;福利机构,healthcare_noise,excluded,,0,0.0,8
医疗,医疗;其他,pharmacy,basic_daily,5.0,1,1.0,7
医疗,,emergency,city_resource,15.0,1,1.2,6
医疗,医疗;体检机构,clinic,daily_complete,10.0,1,1.0,6
医疗,教育培训;其他,healthcare_noise,excluded,,0,0.0,6
医疗,道路;路口,general_hospital,city_resource,15.0,1,1.3,6
